timestamp,count,uniques
2026-05-13T00:00:00Z,14,10
2026-05-14T00:00:00Z,25,16
2026-05-15T00:00:00Z,25,14
2026-05-16T00:00:00Z,24,7
2026-05-17T00:00:00Z,6,5
2026-05-18T00:00:00Z,53,32
2026-05-19T00:00:00Z,8,8
2026-05-20T00:00:00Z,27,18
2026-05-21T00:00:00Z,38,16
2026-05-22T00:00:00Z,22,14
2026-05-23T00:00:00Z,11,7
2026-05-24T00:00:00Z,17,12
2026-05-25T00:00:00Z,22,16
2026-05-26T00:00:00Z,30,18
2026-05-27T00:00:00Z,71,17
2026-05-28T00:00:00Z,51,19
2026-05-29T00:00:00Z,31,16
2026-05-30T00:00:00Z,27,15
